Title;Authors;DOI;pdf
#EEGManyLabs: Investigating the replicability of influential EEG experiments;Pavlov, Y. G. et al.;10.1016/j.cortex.2021.03.013;"../assets/papers/pdf/2021/1-s2.0-S0010945221001106-main.pdf"
Regression-based analysis of combined EEG and eye-tracking data: Theory and applications’;Dimigen, O. and Ehinger, B. V.;10.1167/jov.21.1.3;"../assets/papers/pdf/2021/i1534-7362-21-1-3_1609933604.85964.pdf"
Coordinating With a Robot Partner Affects Neural Processing Related to Action Monitoring;Czeszumski, A., Gert, A.L., Keshava, A. et al.;10.3389/fnbot.2021.686010;"../assets/papers/pdf/2021/fnbot-15-686010.pdf.pdf"

