Title;Authors;DOI;pdf
'Regression-based analysis of combined EEG and eye-tracking data: Theory and applications’;Dimigen, O. and Ehinger, B. V.;10.1167/jov.21.1.3;"../assets/papers/pdf/paper1.pdf"
‘Coordinating With a Robot Partner Affects Action Monitoring Related Neural Processing;Czeszumski, A. et al.;10.1101/2021.03.26.437133;"../assets/papers/pdf/paper1.pdf"
#EEGManyLabs: Investigating the replicability of influential EEG experiments;Pavlov, Y. G. et al.;10.1016/j.cortex.2021.03.013.;"../assets/papers/pdf/paper1.pdf"
