Title;Authors;DOI;pdf
At a second glance: cognitive and oculomotor neural activity of refixation planning;Nikolaev, A. R. et al.;10.1101/660308;"../assets/papers/pdf/2022/660308v4.full.pdf"
EEG ERP Preregistration Template;Govaart, G. H. et al.;10.31222/osf.io/4nvpt;"../assets/papers/pdf/2022/govaart-eeg-erp-prereg-template-2022.pdf"
WildLab: A naturalistic free viewing experiment reveals previously unknown electroencephalography signatures of face processing;Gert Al, Ehinger BV, Timm S, Kietzmann TC, König P;10.1111/ejn.15824;"../assets/papers/pdf/2022/Gert (2022).pdf"
