Title;Authors;DOI;pdf
Planning to revisit: Neural activity in refixation precursors;Nikolaev AR, Ehinger BV, Meghanathan RN, Leeuwen, van C;10.1167/jov.23.7.2;"../assets/papers/pdf/2023/Nikolaev (2023).pdf"
Humans predict the forest, not the trees: statistical learning of spatiotemporal structure in visual scenes;Yan C, Ehinger BV, Pérez-Bellido A, Peelen MV, de Lange FP;10.1093/cercor/bhad115;"../assets/papers/pdf/2023/Yan (2023).pdf"
